2025-02-20 02:59:25:INFO:Client 192.168.1.2 is now listening on pool filament,7
2025-02-20 02:59:25:INFO:Client 192.168.1.2 is now listening on pool filament,8
2025-02-20 02:59:25:INFO:Client 192.168.1.2 is now listening on pool filament,9
2025-02-20 02:59:25:INFO:Client 192.168.1.2 is now listening on pool filament,10
2025-02-20 02:59:25:INFO:Client 192.168.1.2 is now listening on pool filament,11
2025-02-20 02:59:25:INFO:Client 192.168.1.2 has stopped listening on pool filament,1
2025-02-20 02:59:25:INFO:Client 192.168.1.2 has stopped listening on pool filament,2
2025-02-20 02:59:25:INFO:Client 192.168.1.2 has stopped listening on pool filament,3
2025-02-20 02:59:25:INFO:Client 192.168.1.2 has stopped listening on pool filament,4
2025-02-20 02:59:25:INFO:Client 192.168.1.2 has stopped listening on pool filament,5
2025-02-20 02:59:25:INFO:Client 192.168.1.2 has stopped listening on pool filament,6
2025-02-20 02:59:25:INFO:Client 192.168.1.2 has stopped listening on pool filament,7
2025-02-20 02:59:25:INFO:Client 192.168.1.2 has stopped listening on pool filament,8
2025-02-20 02:59:25:INFO:Client 192.168.1.2 has stopped listening on pool filament,9
2025-02-20 02:59:25:INFO:Client 192.168.1.2 has stopped listening on pool filament,10
2025-02-20 02:59:26:INFO:Client 192.168.1.2 has stopped listening on pool filament
2025-02-20 02:59:26:INFO:Client 192.168.1.2 has stopped listening on pool filament,1
2025-02-20 02:59:26:INFO:Client 192.168.1.2 has stopped listening on pool filament,2
2025-02-20 02:59:26:INFO:Client 192.168.1.2 has stopped listening on pool filament,3
2025-02-20 02:59:26:INFO:Client 192.168.1.2 has stopped listening on pool filament,8
2025-02-20 02:59:26:INFO:Client 192.168.1.2 has stopped listening on pool filament,5
2025-02-20 02:59:26:INFO:Client 192.168.1.2 has stopped listening on pool filament,4
2025-02-20 02:59:26:INFO:Client 192.168.1.2 has stopped listening on pool filament,6
2025-02-20 02:59:26:INFO:Client 192.168.1.2 has stopped listening on pool filament,9
2025-02-20 02:59:26:INFO:Client 192.168.1.2 has stopped listening on pool filament,11
2025-02-20 02:59:26:INFO:Client 192.168.1.2 has stopped listening on pool filament,7
2025-02-20 02:59:26:INFO:Client 192.168.1.2 has stopped listening on pool filament,10
2025-02-20 02:59:26:INFO:Client 192.168.1.2 is now listening on pool spool
2025-02-20 02:59:26:INFO:Client 192.168.1.2 is now listening on pool spool,1
2025-02-20 02:59:26:INFO:Client 192.168.1.2 is now listening on pool spool,2
